Title,To node,Image,Topic,Date,DateMM,DateDD,DateYYYY,Author 1,Author 2,Author 3,Author O,Summary,Tag P,Tag A1,Tag A2,Tag A3,Tag AO,Tag R1,Tag R2,Tag R3,Tag RO
Governance Without Government in the Somali Territories,/news/governance-without-government-somali-territories,NO,ESSAY,01092019,01,09,2019,Nicole Stremlau,,,,,Adapted from Print Issue,Nicole Stremlau,,,,Africa,East Africa,,
The Disconnective Power of Disinformation Campaigns,/news/disconnective-power-disinformation-campaigns,NO,ARGUMENT,09182018,09,18,2018,Gregory Asmolov,,,,,Adapted from Print Issue,Gregory Asmolov,,,,Global Commons,,,
"Youth, Peace, And Security: A New Agenda for the Middle East and North Africa",/news/youth-peace-and-security-new-agenda-middle-east-and-north-africa,NO,ESSAY,06062016,06,06,2016,Margaret Williams,,,,,Adapted from Print Issue,Margaret Williams,,,,Middle East,Africa,North Africa,
A National Strategic Framework for Countering Violent Extremism in Jordan,/news/national-strategic-framework-countering-violent-extremism-jordan,NO,ESSAY,06062016,06,06,2016,Ghimar Deeb,Jeffrey Woodham,Mia Chin,Sawsan Gharaibeh,,Adapted from Print Issue,Ghimar Deeb,Jeffrey Woodham,Mia Chin,Sawsan Gharaibeh,Middle East,,,
America’s Ronin Refugees: Forgotten Allies of the Wars in Iraq and Afghanistan,/news/americas-ronin-refugees-forgotten-allies-wars-iraq-and-afghanistan,NO,ESSAY,06062016,06,06,2016,Chase Millsap,,,,,Adapted from Print Issue,Chase Millsap,,,,Americas,North America,Middle East,
Situation of the Bahá’í Minority in Iran and the Existing Legal Framework,/news/situation-bahai-minority-iran-and-existing-legal-framework,NO,ESSAY,06062016,06,06,2016,Shahin Milani,,,,,Adapted from Print Issue,Shahin Milani,,,,Middle East,,,
Schrödinger’s Kurds: Transnational Kurdish Geopolitics In The Age Of Shifting Borders,/news/schrodingers-kurds-transnational-kurdish-geopolitics-age-shifting-borders,NO,ESSAY,05192016,05,19,2016,H. Akin Unver,,,,,Adapted from Print Issue,H. Akin Unver,,,,Middle East,,,
Divesting From Sectarianism: Reimagining Relations Between Iran And The Arab Gulf States,/news/divesting-sectarianism-reimagining-relations-between-iran-and-arab-gulf-states,NO,ESSAY,05182016,05,18,2016,Hamada D. Zahawi,Khaled A. Beydoun,,,,Adapted from Print Issue,Hamada D. Zahawi,Khaled A. Beydoun,,,Middle East,,,
"A Bitter Pill To Swallow: Connections Between Captagon, Syria, And The Gulf",/news/bitter-pill-swallow-connections-between-captagon-syria-and-gulf,NO,ESSAY,05182016,05,18,2016,Max Kravitz,Will Nichols,,,,Adapted from Print Issue,Max Kravitz,Will Nichols,,,Middle East,,,
Misperceiving U.S. Foreign Policy in the Gulf: Raising the Hidden Costs of U.S. Dependence on Oil,/news/misperceiving-us-foreign-policy-gulf-raising-hidden-costs-us-dependence-oil,NO,ESSAY,01012016,01,01,2016,Steve A. Yetiv,,,,,Adapted from Print Issue,Steve A. Yetiv,,,,Middle East,Americas,North America,
Poisoned by Gas: Domestic Networks and Energy Security Strategy in Ukraine,/news/poisoned-gas-domestic-networks-and-energy-security-strategy-ukraine,NO,ESSAY,01012016,01,01,2016,Emily J. Holland,,,,,Adapted from Print Issue,Emily J. Holland,,,,Europe,Eastern Europe,,
Energy Security and Energy Risk Management,/news/energy-security-and-energy-risk-management,NO,ESSAY,01012016,01,01,2016,Lifan Li,,,,,Adapted from Print Issue,Lifan Li,,,,Global Commons,,,
The Geoeconomics of the South Stream Pipeline Project,/news/geoeconomics-south-stream-pipeline-project,NO,ESSAY,01012016,01,01,2016,Antto Vihma,Umut Turksen,,,,Adapted from Print Issue,Antto Vihma,Umut Turksen,,,Europe,Eastern Europe,,
Fueling Oil Scarcity: Produced Scarcity and the Sociopolitical Fate of Renewable Energy,/news/fueling-oil-scarcity-produced-scarcity-and-sociopolitical-fate-renewable-energy,NO,ESSAY,01012016,01,01,2016,Lea Winter,,,,,Adapted from Print Issue,Lea Winter,,,,Global Commons,,,
China-Kazakhstan Energy Relations Between 1997 and 2012,/news/china-kazakhstan-energy-relations-between-1997-and-2012,NO,ESSAY,01012016,01,01,2016,César B. Martínez Álvarez,,,,,Adapted from Print Issue,César B. Martínez Álvarez,,,,Asia,North Asia,Central Asia,
Between National Interests and the Greater Good: Struggling towards a Common European Union Energy Policy in the Context of Climate Change,/news/between-national-interests-and-greater-good-struggling-towards-common-european-union-energy,NO,ESSAY,01012016,01,01,2016,Hanno Focken,,,,,Adapted from Print Issue,Hanno Focken,,,,Europe,,,
EU-Russia Gas Blues,/news/eu-russia-gas-blues,NO,ESSAY,01012016,01,01,2016,Giacomo Luciani,,,,,Adapted from Print Issue,Giacomo Luciani,,,,Europe,Northen Europe,Asia,North Asia
Dynamics of Natural Gas Pricing: The Critical Need for a Natural Gas Hub in South Asia,/news/dynamics-natural-gas-pricing-critical-need-natural-gas-hub-south-asia,NO,ESSAY,01012016,01,01,2016,Maha Kamal,,,,,Adapted from Print Issue,Maha Kamal,,,,Asia,South Asia,,
"New Trends, Changing Dynamics: Student Observations",/news/new-trends-changing-dynamics-student-observations,NO,ARGUMENT,12312015,12,31,2015,Ajith Das,Cait O’Donnell,Janis Kreilis,"Lia Cairone, Shirin Jamshidi",,Adapted from Print Issue,Ajith Das,Cait O’Donnell,Janis Kreilis,"Lia Cairone, Shirin Jamshidi",Global Commons,,,
Energy Prices and European Energy Security: An Interview with Ambassador Richard Morningstar,/news/energy-prices-and-european-energy-security-interview-ambassador-richard-morningstar,NO,FEATURE,12312015,12,31,2015,Richard Morningstar,,,,,Adapted from Print Issue,Richard Morningstar,,,,Europe,,,
Reporting Behind Bars — An Interview with Mohammed Al Oraibi,/news/reporting-behind-bars-interview-mohammed-al-oraibi,NO,FEATURE,12122014,12,12,2014,JIA Editorial Board,,,,,Adapted from Print Issue,JIA Editorial Board,,,,,,,
A Changing Media Landscape in Turkey: The 140journos Project — An Interview with Burcu Baykurt,/news/changing-media-landscape-turkey-140journos-project-interview-burcu-baykurt,NO,FEATURE,12122014,12,12,2014,JIA Editorial Board,,,,,Adapted from Print Issue,JIA Editorial Board,,,,Europe,Eastern Europe,,
Beyond Governments: Philanthropists at the Table — An interview with Howard G. Buffet,/news/beyond-governments-philanthropists-table-interview-howard-g-buffet,NO,FEATURE,09292014,09,29,2014,,,,,,Adapted from Print Issue,,,,,Global Commons,,,
A Return to El Dorado: The Opportunities and Risks Presented by Colombian Gold Mining,/news/return-el-dorado-opportunities-and-risks-presented-colombian-gold-mining,NO,ESSAY,04272013,04,27,2013,Aly Jiwani,Delaney Simon,Julien Barbey,"Pushkar Sharma, Tory Webster",,Produced for Digital,Aly Jiwani,Delaney Simon,Julien Barbey,"Pushkar Sharma, Tory Webster",Americas,South America,,
The State Of Argentine-Brazilian Nuclear Relations,/news/state-argentine-brazilian-nuclear-relations,NO,ESSAY,04262013,04,26,2013,Juan Gabriel Tokatlian,,,,,Produced for Digital,Juan Gabriel Tokatlian,,,,Americas,South America,,
Striking a Balance between Private and Social Interests: Lessons from Microfinance in Mexico,/news/striking-balance-between-private-and-social-interests-lessons-microfinance-mexico,NO,ARGUMENT,04242013,04,24,2013,Pablo Antón-Díaz,,,,,Produced for Digital,Pablo Antón-Díaz,,,,Americas,South America,,
Decentralization and Social Policy in Brazil: An Analysis of Health and Education Policies of the New Republic,/news/decentralization-and-social-policy-brazil-analysis-health-and-education-policies-new-republic,NO,ESSAY,04232013,04,23,2013,Aaron Pierce,,,,,Produced for Digital,Aaron Pierce,,,,Americas,South America,,
Extractive Industries: What Should Be Disclosed?,/news/extractive-industries-what-should-be-disclosed,NO,COMMENT,04232013,04,23,2013,Sherry Goldberg,,,,,Produced for Digital,Sherry Goldberg,,,,Global Commons,,,
Driven by Necessity: Realizing the Full Potential for Sustainable Development in Latin America,/news/driven-necessity-realizing-full-potential-sustainable-development-latin-america,NO,COMMENT,04182013,04,18,2013,Jared Messinger,,,,,Produced for Digital,Jared Messinger,,,,Americas,South America,,
Transatlantic Constructions of American Identity in the Global Climate Context (1988-2011),/news/transatlantic-constructions-american-identity-global-climate-context-1988-2011,NO,ARGUMENT,04182013,04,18,2013,Zeynep Clulow,,,,,Produced for Digital,Zeynep Clulow,,,,Americas,North America,,
Public Innovation for Good Governance,/news/public-innovation-good-governance,NO,ARGUMENT,04172013,04,17,2013,Ania Calderón,Sergio Fajardo,,,,Adapted from Print Issue,Ania Calderón,Sergio Fajardo,,,Global Commons,,,
Renewable Energy in Chile: Barriers and the Role of Public Policy,/news/renewable-energy-chile-barriers-and-role-public-policy,NO,ESSAY,04172013,04,17,2013,Sophie von Hatzfeldt,,,,,Adapted from Print Issue,Sophie von Hatzfeldt,,,,Americas,South America,,
Calderón’s War,/news/calderons-war,NO,ESSAY,04172013,04,17,2013,Nathaniel Parish Flannery,,,,,Adapted from Print Issue,Nathaniel Parish Flannery,,,,Americas,South America,,
Encouraging Entrepreneurship: Brazil’s Bid in Latin America,/news/encouraging-entrepreneurship-brazils-bid-latin-america,NO,ESSAY,04122013,04,12,2013,Lee Catherine Booker,,,,,Produced for Digital,Lee Catherine Booker,,,,Americas,South America,,
Security Relations between Kazakhstan and China: Assessments and Recommendations on the Transnational Uighur question,/news/security-relations-between-kazakhstan-and-china-assessments-and-recommendations-transnational,NO,ESSAY,04102013,04,10,2013,Andreas Borgeas,,,,,Produced for Digital,Andreas Borgeas,,,,Asia,North Asia,Central Asia,
Miserando atque Eligendo: By Showing Compassion and by Choosing,/news/miserando-atque-eligendo-showing-compassion-and-choosing,NO,COMMENT,03292013,03,29,2013,Joseph Laracy,,,,,Produced for Digital,Joseph Laracy,,,,,,,
China’s Buddhist Diplomacy: Why Do America and India Entangle with Tiny Sri Lanka?,/news/chinas-buddhist-diplomacy-why-do-america-and-india-entangle-tiny-sri-lanka,NO,ESSAY,02222013,02,22,2013,Patrick Mendis,,,,,Produced for Digital,Patrick Mendis,,,,Americas,North America,Asia,South Asia
Alternative Power: Political economy of cultural property,/news/alternative-power-political-economy-cultural-property,NO,ARGUMENT,02082013,02,08,2013,Eric Nemeth,Erik Nemeth,,,,Produced for Digital,Eric Nemeth,Erik Nemeth,,,Global Commons,,,
China-India Relations in the Twenty-First Century: Decoding Border Disputes with Critical Junctures,/news/china-india-relations-twenty-first-century-decoding-border-disputes-critical-junctures,NO,ESSAY,02052013,02,05,2013,Claudia Astarita,,,,,Produced for Digital,Claudia Astarita,,,,Asia,South Asia,North Asia,
Transnational Organized Crime: Proactively Targeting its Financial Lifelines,/news/transnational-organized-crime-proactively-targeting-its-financial-lifelines,NO,ARGUMENT,02012013,02,01,2013,Stuart Jones Jr.,Zachary Goldman,,,,Produced for Digital,Stuart Jones Jr.,Zachary Goldman,,,Global Commons,,,
Human Trafficking in the Post-Cold War Period: Towards a Comprehensive Approach,/news/human-trafficking-post-cold-war-period-towards-comprehensive-approach,NO,ESSAY,01292013,01,29,2013,Vladimir Makei,,,,,Produced for Digital,Vladimir Makei,,,,Global Commons,,,
Cocaine Politics in Guinea-Bissau: The link between drug trafficking and political fragility and its wider implications,/news/cocaine-politics-guinea-bissau-link-between-drug-trafficking-and-political-fragility-and-its,NO,ESSAY,01252013,01,25,2013,Mark Shaw,Tuesday Reitano,,,,Produced for Digital,Mark Shaw,Tuesday Reitano,,,Africa,West Africa,,
"Afghanistan’s Opium Economy: Incentives, Insurgency, and International Demand",/news/afghanistans-opium-economy-incentives-insurgency-and-international-demand,NO,ARGUMENT,12052012,12,05,2012,David Eisler,,,,,Produced for Digital,David Eisler,,,,Middle East,,,
The Great Debate: Is law enforcement alone enough to reduce human trafficking?,/news/great-debate-law-enforcement-alone-enough-reduce-human-trafficking,NO,ESSAY,12042012,12,04,2012,Alina Alcantara,Anne T. Gallagher,Jaclyn Schettler,"Jay S. Albanese, Jonathan Todres, Kathryn Farr, Laura Sundblad, Sara Elizabeth Dill, Sonia Stefanizzi, Ted Janis, Yasmine Ergas",,Produced for Digital,Alina Alcantara,Anne T. Gallagher,Jaclyn Schettler,"Jay S. Albanese, Jonathan Todres, Kathryn Farr, Laura Sundblad, Sara Elizabeth Dill, Sonia Stefanizzi, Ted Janis, Yasmine Ergas",Global Commons,,,
Virtual Villains: The Evolution of Transnational Organized Financial Crime,/news/virtual-villains-evolution-transnational-organized-financial-crime,NO,ARGUMENT,12042012,12,04,2012,Lee Catherine Booker,,,,,Produced for Digital,Lee Catherine Booker,,,,Global Commons,,,
"Green Carbon, Black Trade: Finding Comprehensive Solutions for an Intersectoral Problem",/news/green-carbon-black-trade-finding-comprehensive-solutions-intersectoral-problem,NO,ARGUMENT,12022012,12,02,2012,Laura Sundblad,,,,,Produced for Digital,Laura Sundblad,,,,Global Commons,,,
Borderland Conditions between the United States and Mexico,/news/borderland-conditions-between-united-states-and-mexico,NO,COMMENT,11302012,11,30,2012,Natalia Mendoza,Rachel St. John,,,,Adapted from Print Issue,Natalia Mendoza,Rachel St. John,,,Americas,North America,,
Rio De Janeiro: A Local Response to a Global Challenge,/news/rio-de-janeiro-local-response-global-challenge,NO,COMMENT,11302012,11,30,2012,Col. Robson Rodrigues da Silva,Laura Vargas,,,,Adapted from Print Issue,Col. Robson Rodrigues da Silva,Laura Vargas,,,Americas,South America,,
Archaeology of the Present: Organized Crime through the Study of Urban Built Environments,/news/archaeology-present-organized-crime-through-study-urban-built-environments,NO,COMMENT,11302012,11,30,2012,Eyal Weizman,Guillermo Ruiz de Teresa,,,,Adapted from Print Issue,Eyal Weizman,Guillermo Ruiz de Teresa,,,Global Commons,,,
Global Vice: The Expanding Territory of the Yakuza,/news/global-vice-expanding-territory-yakuza,NO,COMMENT,11302012,11,30,2012,Ania Calderón,Jake Adelstein,,,,Adapted from Print Issue,Ania Calderón,Jake Adelstein,,,Asia,East Asia,,
Organized Crime in a Network Society,/news/organized-crime-network-society,NO,COMMENT,11302012,11,30,2012,Misha Glenny,Ronald Davis,,,,Adapted from Print Issue,Misha Glenny,Ronald Davis,,,Global Commons,,,
Cartel Corridor: The Move to Central America,/news/cartel-corridor-move-central-america,NO,COMMENT,11302012,11,30,2012,Lee Catherine Booker,,,,,Produced for Digital,Lee Catherine Booker,,,,Americas,Central America,,
Whither Antidrug Policy?,/news/whither-antidrug-policy,NO,ESSAY,11282012,11,28,2012,Ania Calderón,Vanda Felbab-Brown,,,,Adapted from Print Issue,Ania Calderón,Vanda Felbab-Brown,,,Global Commons,,,
Demands of Supply,/news/demands-supply,NO,COMMENT,11272012,11,27,2012,Matthew Hockenberry,,,,,Adapted from Print Issue,Matthew Hockenberry,,,,Global Commons,,,
The Failed Divorce of Serbia’s Government and Organized Crime,/news/failed-divorce-serbias-government-and-organized-crime,NO,ESSAY,11272012,11,27,2012,Nemanja Mladenovic,,,,,Adapted from Print Issue,Nemanja Mladenovic,,,,Europe,Eastern Europe,,
Outgunned: The Honduran Fight Against Transnational Cocaine Traffickers,/news/outgunned-honduran-fight-against-transnational-cocaine-traffickers,NO,ESSAY,11262012,11,26,2012,Ana-Constantina Kolb,,,,,Adapted from Print Issue,Ana-Constantina Kolb,,,,Americas,Central America,,
Human Trafficking: A Global Perspective,/news/human-trafficking-global-perspective,NO,COMMENT,11202012,11,20,2012,Emmania Rodriguez,,,,,Adapted from Print Issue,Emmania Rodriguez,,,,Global Commons,,,
The Story of Two Women who Risked Everything in the International Drug Trade,/news/story-two-women-who-risked-everything-international-drug-trade,NO,COMMENT,11202012,11,20,2012,Alina A. Smyslova,,,,,Adapted from Print Issue,Alina A. Smyslova,,,,Global Commons,,,
The Shadow World: Inside the Global Arms Trade,/news/shadow-world-inside-global-arms-trade,NO,COMMENT,11202012,11,20,2012,Krisztian Simon,,,,,Adapted from Print Issue,Krisztian Simon,,,,Global Commons,,,
Draining Development? Controlling Flows of Illicit Funds from Developing Countries,/news/draining-development-controlling-flows-illicit-funds-developing-countries,NO,COMMENT,11202012,11,20,2012,Frank Murray,,,,,Adapted from Print Issue,Frank Murray,,,,Global Commons,,,
Mafias on the move: How Organized Crime Conquers New Territories,/news/mafias-move-how-organized-crime-conquers-new-territories,NO,COMMENT,11202012,11,20,2012,Diana del Olmo,,,,,Adapted from Print Issue,Diana del Olmo,,,,Global Commons,,,
Treasure Islands: Uncovering the Damage of Offshore Banking and Tax Havens,/news/treasure-islands-uncovering-damage-offshore-banking-and-tax-havens,NO,COMMENT,11202012,11,20,2012,Chris Eshleman,,,,,Adapted from Print Issue,Chris Eshleman,,,,Global Commons,,,
The Money Laundry: Regulating Criminal Finance in the Global Economy,/news/money-laundry-regulating-criminal-finance-global-economy,NO,COMMENT,11202012,11,20,2012,Ethan Wagner,,,,,Adapted from Print Issue,Ethan Wagner,,,,Global Commons,,,
Mexico’s Struggle for Public Security: Organized Crime and State Responses,/news/mexicos-struggle-public-security-organized-crime-and-state-responses,NO,COMMENT,11202012,11,20,2012,Laura Vargas,,,,,Adapted from Print Issue,Laura Vargas,,,,Americas,North America,,
Informality and Illegality in the Exploitation of Gold and Timber in Antioquia,/news/informality-and-illegality-exploitation-gold-and-timber-antioquia,NO,COMMENT,11202012,11,20,2012,Victoria Webster,,,,,Adapted from Print Issue,Victoria Webster,,,,Americas,South America,,
"Gridlock: Labor, Migration, and Human Trafficking in Dubai",/news/gridlock-labor-migration-and-human-trafficking-dubai,NO,COMMENT,11202012,11,20,2012,Alexander Lee,,,,,Adapted from Print Issue,Alexander Lee,,,,Middle East,,,
Criminal Activity in a Globalizing World,/news/criminal-activity-globalizing-world,NO,COMMENT,11192012,11,19,2012,Madeline K. B. Ross,,,,,Adapted from Print Issue,Madeline K. B. Ross,,,,Global Commons,,,
Hidden in Plain Sight: An Anthropology of the Global Criminal Underworld,/news/hidden-plain-sight-anthropology-global-criminal-underworld,NO,ARGUMENT,11192012,11,19,2012,David Kortava,,,,,Adapted from Print Issue,David Kortava,,,,Global Commons,,,
"Leave No One Behind, Even After Fifty Years",/news/leave-no-one-behind-even-after-fifty-years,NO,COMMENT,11142012,11,14,2012,Patrick Ellis Cha,,,,,Produced for Digital,Patrick Ellis Cha,,,,Global Commons,,,
Confronting Iran: A Red Team Perspective,/news/confronting-iran-red-team-perspective,NO,ARGUMENT,11142012,11,14,2012,Samir Tata,,,,,Produced for Digital,Samir Tata,,,,Middle East,,,
Springtime of Discontent,/news/springtime-discontent,NO,ARGUMENT,10222012,10,22,2012,Taro-kun,,,,,Produced for Digital,Taro-kun,,,,Global Commons,,,
Incommensurability and “No Kill Zones”: Settling Arguments and Producing Knowledge in a Divided Discipline,/news/incommensurability-and-no-kill-zones-settling-arguments-and-producing-knowledge-divided,NO,ESSAY,09252012,09,25,2012,Nikolaj Werk,,,,,Produced for Digital,Nikolaj Werk,,,,Global Commons,,,
The Closing of Turkey’s Kurdish Opening,/news/closing-turkeys-kurdish-opening,NO,ESSAY,09202012,09,20,2012,Michael Kurd Gunder,,,,,Produced for Digital,Michael Kurd Gunder,,,,Europe,Eastern Europe,,
The Many Colors of the ‘Arab Spring’,/news/many-colors-arab-spring,NO,COMMENT,08282012,08,28,2012,Dr. Imad Salamey,,,,,Produced for Digital,Dr. Imad Salamey,,,,Middle East,Africa,North Africa,
How Civil Society Can Engage with Policy Making in Myanmar’s Transitional Context,/news/how-civil-society-can-engage-policy-making-myanmars-transitional-context,NO,ARGUMENT,07292012,07,29,2012,Mark SiuSue,,,,,Produced for Digital,Mark SiuSue,,,,Asia,South East Asia,,
The United States and Canadian Border: An Attempt to Increase Bi-Lateral Cooperation for the Prevention of Transnational Crime,/news/united-states-and-canadian-border-attempt-increase-bi-lateral-cooperation-prevention,NO,ESSAY,07232012,07,23,2012,Lita M. Grace,,,,,Produced for Digital,Lita M. Grace,,,,Americas,North America,,
Urban America: U.S. Cities in the Global Era,/news/urban-america-us-cities-global-era,NO,ARGUMENT,05232012,05,23,2012,Richard C. Longworth,,,,,Produced for Digital,Richard C. Longworth,,,,Americas,North America,,
Religious-Freedom Violations in South Asia,/news/religious-freedom-violations-south-asia,NO,ARGUMENT,05142012,05,14,2012,Katrina Lantos Swett,Leonard A. Leo,,,,Produced for Digital,Katrina Lantos Swett,Leonard A. Leo,,,Asia,South Asia,,
"The Delivery of Public Goods in a Rapidly Expanding African City: Financing Policies in Addis Ababa, Ethiopia",/news/delivery-public-goods-rapidly-expanding-african-city-financing-policies-addis-ababa-ethiopia,NO,ESSAY,04232012,04,23,2012,Edmond J. Keller,,,,,Produced for Digital,Edmond J. Keller,,,,Africa,East Africa,,
The Invention and Reinvention of the City: An Interview with Rem Koolhaas,/news/invention-and-reinvention-city-interview-rem-koolhaas,NO,FEATURE,04192012,04,19,2012,Paul Fraioli,,,,,Produced for Digital,Paul Fraioli,,,,Global Commons,,,
Cairo 2050: Urban Dream or Modernist Delusion?,/news/cairo-2050-urban-dream-or-modernist-delusion,NO,COMMENT,04192012,04,19,2012,Nada Tarbush,,,,,Adapted from Print Issue,Nada Tarbush,,,,Africa,North Africa,,
Urban America: U.S. Cities in the Global Era,/news/urban-america-us-cities-global-era,NO,ARGUMENT,05232012,05,23,2012,Richard C. Longworth,,,,,Produced for Digital,Richard C. Longworth,,,,Americas,North America,,
Toward a Sustainability Framework for Development in Niger,/news/toward-sustainability-framework-development-niger,NO,ESSAY,04102012,04,10,2012,Michael Ginsberg,,,,,Produced for Digital,Michael Ginsberg,,,,Africa,West Africa,,
The Algerian Regime: An Arab Spring Survivor,/news/algerian-regime-arab-spring-survivor,NO,ARGUMENT,03072012,03,07,2012,Narrimane Benakcha,,,,,Produced for Digital,Narrimane Benakcha,,,,Africa,North Africa,,
Ways Forward in Global Counterterrorism,/news/ways-forward-global-counterterrorism,NO,ARGUMENT,02272012,02,27,2012,Cornelia Bayer,,,,,Produced for Digital,Cornelia Bayer,,,,Global Commons,,,
When Fighting Corruption Harms Democracy,/news/when-fighting-corruption-harms-democracy,NO,ARGUMENT,02202012,02,20,2012,Nicholas Robinson,,,,,Produced for Digital,Nicholas Robinson,,,,Global Commons,,,
North Korea: The World’s Principal Violator of the “Responsibility to Protect”,/news/north-korea-worlds-principal-violator-responsibility-protect,NO,COMMENT,02062012,02,06,2012,Robert Park,,,,,Produced for Digital,Robert Park,,,,Asia,East Asia,,
Undoing Partition: Pakistan’s Military Economy and the Reintegration of South Asia,/news/undoing-partition-pakistans-military-economy-and-reintegration-south-asia,NO,ESSAY,11022011,11,02,2011,Neil Padukone,,,,,Produced for Digital,Neil Padukone,,,,Asia,South Asia,,
A Discussion of Sino-Indian Relations,/news/discussion-sino-indian-relations,NO,COMMENT,04042011,04,04,2011,Andrew Tobin,,,,,Produced for Digital,Andrew Tobin,,,,Asia,South Asia,North Asia,
Green Technology: Where We Are and What We Need,/news/green-technology-where-we-are-and-what-we-need,NO,ESSAY,11102010,11,10,2010,,,,,,Produced for Digital,,,,,Global Commons,,,
The Politics of Civil Service Reform in Pakistan,/news/politics-civil-service-reform-pakistan,NO,ESSAY,05012010,05,01,2010,Andrew Wilder,,,,,Adapted from Print Issue,Andrew Wilder,,,,Asia,South Asia,,
The Russian Soldier Today,/news/russian-soldier-today,NO,ESSAY,04182010,04,18,2010,Iva Savic,,,,,Adapted from Print Issue,Iva Savic,,,,Asia,North Asia,Europe,Eastern Europe
What Can Be Done with Documents,/news/what-can-be-done-documents,NO,COMMENT,04182010,04,18,2010,Maksim Hanukai,,,,,Adapted from Print Issue,Maksim Hanukai,,,,Global Commons,,,
Constructing a Post-Communist Economic Order,/news/constructing-post-communist-economic-order,NO,ARGUMENT,04182010,04,18,2010,David Szakonyi,,,,,Adapted from Print Issue,David Szakonyi,,,,Asia,North Asia,Europe,Eastern Europe
Unwrapping Russian Foreign Policy,/news/unwrapping-russian-foreign-policy,NO,ARGUMENT,04182010,04,18,2010,Thomas J.R. Kent,,,,,Adapted from Print Issue,Thomas J.R. Kent,,,,Asia,North Asia,Europe,Eastern Europe
