Title,To node,Image,Topic,Date,DateMM,DateDD,DateYYYY,Author 1,Author 2,Author 3,Author O,Summary,Tag P,Tag A1,Tag A2,Tag A3,Tag AO,Tag R1,Tag R2,Tag R3,Tag RO
A hammer in search of a nail: EU sanctions and the cyber domain,/news/hammer-search-nail-eu-sanctions-and-cyber-domain,YES,ESSAY,12062018,12,06,2018,Stefan Soesanto,,,,,Produced for Digital,Stefan Soesanto,,,,Europe,,,
China’s Arms Sales Philosophy in the Arab World,/news/chinas-arms-sales-philosophy-arab-world,YES,ARGUMENT,12032018,12,03,2018,Latifa A. Al Saud,,,,,Produced for Digital,Latifa A. Al Saud,,,,Asia,North Asia,Europe,
"The Job Terminator? Automation, Artificial Intelligence and the Future of Work",/news/job-terminator-automation-artificial-intelligence-and-future-work,YES,ARGUMENT,11302018,11,30,2018,Francisco L. Rivera-Batiz,,,,,Produced for Digital,Francisco L. Rivera-Batiz,,,,Global Commons,,,
The G20 in a Zero-Sum World,/news/g20-zero-sum-world,YES,ARGUMENT,11282018,11,28,2018,Roland Rajah,,,,,Produced for Digital,Roland Rajah,,,,Global Commons,,,
South Korea’s Options amidst a US-China Trade War: Opportunities and Risks,/news/south-koreas-options-amidst-us-china-trade-war-opportunities-and-risks,YES,ARGUMENT,11192018,11,19,2018,Seunghyun Han,,,,,Produced for Digital,Seunghyun Han,,,,Asia,North Asia,East Asia,Americas
From the Archives: The Geopolitics of People Power: The Pursuit of the Nation-State in East Central Europe,/news/archives-geopolitics-people-power-pursuit-nation-state-east-central-europe,YES,ESSAY,11162018,11,16,2018,Raymond Pearson,,,,,Adapted from Print Issue,Raymond Pearson,,,,Europe,Eastern Europe,Central Europe,
Sino-US Relations at a Crossroads: Shandong’s Importance at the Centenary of World War I,/news/sino-us-relations-crossroads-shandongs-importance-centenary-world-war-i,YES,ARGUMENT,11142018,11,14,2018,Vasilis Trigkas,,,,,Produced for Digital,Vasilis Trigkas,,,,,,,
Russia’s Mission,/news/russias-mission,YES,ARGUMENT,11142018,11,14,2018,Nicolai N. Petro,,,,,Produced for Digital,Nicolai N. Petro,,,,Asia,North Asia,Europe,Eastern Europe
From Berlin to Moscow,/news/berlin-moscow,YES,ESSAY,11132018,11,13,2018,René Albrecht-Carrié,,,,,Adapted from Print Issue,René Albrecht-Carrié,,,,Europe,Eastern Europe,Western Europe,
From World War I to Cold War II,/news/world-war-i-cold-war-ii,YES,COMMENT,11112018,11,11,2018,Richard K. Betts,,,,,Produced for Digital,Richard K. Betts,,,,Global Commons,,,
The Balance of Global Public and Private Power: A Tale of Two Worlds,/news/balance-global-public-and-private-power-tale-two-worlds,YES,ESSAY,11082018,11,08,2018,John Gerard Ruggie,,,,,Produced for Digital,John Gerard Ruggie,,,,Global Commons,,,
Is the West Pushing Moscow Toward Beijing's Arms?,/news/west-pushing-moscow-toward-beijings-arms,YES,ARGUMENT,10302018,10,30,2018,Ernesto Gallo,Bruno Sergi,,,,Produced for Digital,Ernesto Gallo,Bruno Sergi,,,Americas,Asia,North Asia,Europe
From the Archives: Access For All - The Future for Afghanistan,/news/archives-access-all-future-afghanistan,YES,ESSAY,10252018,10,25,2018,Shaharzad Akbar,,,,,Produced for Digital,Shaharzad Akbar,,,,Middle East,,,
Orthodox Schism Reveals Political Dynamics in Russia and Ukraine,/news/orthodox-schism-reveals-political-dynamics-russia-and-ukraine,YES,COMMENT,10242018,10,24,2018,Amy Fallas,,,,,Produced for Digital,Amy Fallas,,,,Europe,Eastern Europe,Asia,North Asia
From the Archives: An Interview with Lakhdar Brahimi,/news/archives-interview-lakhdar-brahimi,YES,FEATURE,10232018,10,23,2018,Mary Sack,Cyrus Samii,,,,Produced for Digital,Mary Sack,Cyrus Samii,,,Middle East,Global Commons,,
"Risking Democracy in Afghanistan: Voting, Violence, and the Struggle for Parliament",/news/risking-democracy-afghanistan-voting-violence-and-struggle-parliament,YES,ARGUMENT,10192018,10,19,2018,Robert D. Crews,,,,,Produced for Digital,Robert D. Crews,,,,Middle East,,,
From the Archives: Post-Cold War State Disintegration: The Failure of International Conflict Resolution in Afghanistan,/news/archives-post-cold-war-state-disintegration-failure-international-conflict-resolution,YES,ESSAY,10182018,10,18,2018,Barnett R. Rubin,,,,,Produced for Digital,Barnett R. Rubin,,,,Middle East,,,
U.S. Foreign Policy: From the Force of Politics to the Politics of Force,/news/us-foreign-policy-force-politics-politics-force,YES,ARGUMENT,10112018,10,11,2018,Michal Bokša,Caitlyn Hendricks-Costello,,,,Produced for Digital,Michal Bokša,Caitlyn Hendricks-Costello,,,Americas,North America,,
Trouble in Paradise: Oscar Temaru on Nuclear Testing and Independence Aspirations,/news/trouble-paradise-oscar-temaru-nuclear-testing-and-independence-aspirations,YES,ARGUMENT,10102018,10,10,2018,Oscar Temaru,,,,,Produced for Digital,Oscar Temaru,,,,Oceania,,,
Brazil En Route to Authoritarianism Following First Round of Elections,/news/brazil-en-route-authoritarianism-following-first-round-elections,YES,COMMENT,10102018,10,10,2018,Rogerio Schlegel,,,,,Produced for Digital,Rogerio Schlegel,,,,Americas,South America,,
Brazil's Sisyphean Election,/news/brazils-sisyphean-election,YES,COMMENT,10072018,10,07,2018,Andre Pagliarini,,,,,Produced for Digital,Andre Pagliarini,,,,Americas,South America,,
From the Archives: Regional Tendencies Rooted In Challenges Of The Past,/news/archives-regional-tendencies-rooted-challenges-past,YES,ARGUMENT,10062018,10,06,2018,JIA Editorial Board,,,,,Produced for Digital,JIA Editorial Board,,,,Global Commons,,,
From the Archives: New Directions For A More Prosperous Brazil,/news/archives-new-directions-more-prosperous-brazil,YES,ESSAY,10062018,10,06,2018,Thomas J. Trebat,,,,,Produced for Digital,Thomas J. Trebat,,,,Americas,South America,,
From the Archives: An Interview with Fernando Henrique Cardoso,/news/archives-interview-fernando-henrique-cardoso,YES,FEATURE,10042018,10,04,2018,Sara Regine Hassett,Christine Weyd,,,,Adapted from Print Issue,Sara Regine Hassett,Christine Weyd,,,Americas,South America,,
LAUNCH EVENT: Special Issue on Disinformation and Contentious Narratives,/news/launch-event-special-issue-disinformation-and-contentious-narratives,YES,ARGUMENT,09292018,09,29,2018,JIA Editorial Board,,,,,Adapted from Print Issue,JIA Editorial Board,,,,Global Commons,,,
From the Archives: The Special Issue,/news/archives-special-issue,YES,ESSAY,09262018,09,26,2018,Saul K. Padover,,,,,Produced for Digital,Saul K. Padover,,,,Global Commons,,,
The EU's Crisis Diplomacy In Ukraine: The Matrix of Possibilities,/news/eus-crisis-diplomacy-ukraine-matrix-possibilities,YES,ARGUMENT,09262018,09,26,2018,Natalia Chaban,Ben O'Loughlin,,,,Adapted from Print Issue,Natalia Chaban,Ben O'Loughlin,,,Europe,Eastern Europe,,
Information Warfare and Information Operations: Russian and U.S. Perspectives,/news/information-warfare-and-information-operations-russian-and-us-perspectives,YES,ARGUMENT,09252018,09,25,2018,Hans Klein,,,,,Adapted from Print Issue,Hans Klein,,,,Europe,Eastern Europe,Americas,North America
Master Narratives of Disinformation Campaigns,/news/master-narratives-disinformation-campaigns,YES,ESSAY,09242018,09,24,2018,Matthew Levinger,,,,,Adapted from Print Issue,Matthew Levinger,,,,Global Commons,,,
Russian Trolls and Fake News: Information or Identity Logics?,/news/russian-trolls-and-fake-news-information-or-identity-logics,YES,ARGUMENT,09242018,09,24,2018,Michael Jensen,,,,,Adapted from Print Issue,Michael Jensen,,,,Europe,Eastern Europe,Asia,North Asia
Cyber Rebellions: The Online Struggle for Openness,/news/cyber-rebellions-online-struggle-openness,YES,ARGUMENT,09212018,09,21,2018,Matthew J. Flynn,,,,,Adapted from Print Issue,Matthew J. Flynn,,,,Global Commons,,,
The Weaponization of Social Media: Spear Phishing and Cyberattacks on Democracy,/news/weaponization-social-media-spear-phishing-and-cyberattacks-democracy,YES,ARGUMENT,09202018,09,20,2018,Michael Bossetta,,,,,Adapted from Print Issue,Michael Bossetta,,,,Global Commons,,,
Robot Wars: How Bots Joined Battle in the Gulf,/news/robot-wars-how-bots-joined-battle-gulf,YES,ARGUMENT,09192018,09,19,2018,Ben Nimmo,,,,,Adapted from Print Issue,Ben Nimmo,,,,Middle East,,,
A New Approach to Assessing the Role of Technology in Spurring and Mitigating Conflict: Evidence From Research and Practice,/news/new-approach-assessing-role-technology-spurring-and-mitigating-conflict-evidence-research-and,YES,ARGUMENT,09182018,09,18,2018,Rachel Brown,Laura Livingston,,,,Adapted from Print Issue,Rachel Brown,Laura Livingston,,,Global Commons,,,
Contentious Narratives and Europe: Conspiracy Theories and Strategic Narratives Surrounding RT's Brexit News Coverage,/news/contentious-narratives-and-europe-conspiracy-theories-and-strategic-narratives-surrounding,YES,ARGUMENT,09172018,09,17,2018,Emma Flaherty,Laura Roselle,,,,Adapted from Print Issue,Emma Flaherty,Laura Roselle,,,Europe,Eastern Europe,Asia,North Asia
"Dangerous Speech, Anti-Muslim Violence, and Facebook in Myanmar",/news/dangerous-speech-anti-muslim-violence-and-facebook-myanmar,YES,ARGUMENT,09172018,09,17,2018,Christina Fink,,,,,Adapted from Print Issue,Christina Fink,,,,Asia,South East Asia,,
Digital Marketing In The Disinformation Age,/news/digital-marketing-disinformation-age,YES,ARGUMENT,09172018,09,17,2018,Douglas Guilbeault,,,,,Adapted from Print Issue,Douglas Guilbeault,,,,Global Commons,,,
The Global Organization of Social Media Disinformation Campaigns,/news/global-organization-social-media-disinformation-campaigns,YES,ARGUMENT,09172018,09,17,2018,Philip N. Howard,Samantha Bradshaw,,,,Adapted from Print Issue,Philip N. Howard,Samantha Bradshaw,,,Global Commons,,,
The New Global Landscape: Illiberal Regimes and Movements,/news/new-global-landscape-illiberal-regimes-and-movements,YES,ARGUMENT,09172018,09,17,2018,Ambassador John Shattuck,,,,,Adapted from Print Issue,Ambassador John Shattuck,,,,Global Commons,,,
Foreword,/news/foreword,YES,ARGUMENT,01222019,01,22,2019,Steven Livingston,,,,,Adapted from Print Issue,Steven Livingston,,,,Global Commons,,,
Table of Contents,/news/table-contents-0,YES,GENERAL,02112020,02,11,2020,JIA Editorial Board,,,,,Adapted from Print Issue,JIA Editorial Board,,,,,,,
The U.S.-India 2+2 Dialogue,/news/us-india-22-dialogue,YES,COMMENT,09032018,09,03,2018,Aayush Mohanty,,,,,Produced for Digital,Aayush Mohanty,,,,Americas,North America,Asia,South Asia
The Future of Indian Deterrence in Space,/news/future-indian-deterrence-space,YES,ARGUMENT,08212018,08,21,2018,Rahul Krishna,Radhika Chhabra,,,,Produced for Digital,Rahul Krishna,Radhika Chhabra,,,Asia,South Asia,,
Debunking the Asian Century Myth,/news/debunking-asian-century-myth,YES,ARGUMENT,08102018,08,10,2018,Advaya Hari Singh,,,,,Produced for Digital,Advaya Hari Singh,,,,Asia,,,
United States and Iran: Confrontation or Dialogue?,/news/united-states-and-iran-confrontation-or-dialogue,YES,ARGUMENT,08082018,08,08,2018,Kaveh L. Afrasiabi,Nader Entessar,,,,Produced for Digital,Kaveh L. Afrasiabi,Nader Entessar,,,Americas,North America,Middle East,
Samsung in India,/news/samsung-india,YES,COMMENT,08032018,08,03,2018,Debalina Ghoshal,,,,,Produced for Digital,Debalina Ghoshal,,,,Asia,South Asia,East Asia,
Resettling the White Helmets: A Dangerous Foreign Policy Precedent for Health in Syria,/news/resettling-white-helmets-dangerous-foreign-policy-precedent-health-syria,YES,ARGUMENT,08022018,08,02,2018,Vageesh Jain,,,,,Produced for Digital,Vageesh Jain,,,,Middle East,,,
"Pakistan: Militancy, the Transition to Democracy and Future Relations with the United States",/news/pakistan-militancy-transition-democracy-and-future-relations-united-states,YES,ESSAY,07252018,07,25,2018,Saeed Shafqat,,,,,Adapted from Print Issue,Saeed Shafqat,,,,Asia,South Asia,Americas,North America
The Wrong Model: Libya and the U.S.-North Korea Negotiations,/news/wrong-model-libya-and-us-north-korea-negotiations,YES,ARGUMENT,07202018,07,20,2018,Brian Choquette,,,,,Produced for Digital,Brian Choquette,,,,Africa,North Africa,Americas,Asia
The Dragon's Increasing Supremacy in the Indian Ocean,/news/dragons-increasing-supremacy-indian-ocean,YES,COMMENT,07182018,07,18,2018,Mridul Jha,,,,,Produced for Digital,Mridul Jha,,,,Asia,North Asia,South Asia,
Shoring Up a Democracy Under Siege,/news/shoring-democracy-under-siege,YES,ESSAY,07132018,07,13,2018,Laleh Ispahani,Sarah R. Knight,,,,Adapted from Print Issue,Laleh Ispahani,Sarah R. Knight,,,Americas,North America,,
India's Choice: Bilateral and Quadrilateral?,/news/indias-choice-bilateral-and-quadrilateral,YES,ARGUMENT,06292018,06,29,2018,Aayush Mohanty,,,,,Produced for Digital,Aayush Mohanty,,,,Asia,South Asia,,
Table of Contents: The Democracy Issue,/news/table-contents-democracy-issue,YES,GENERAL,06242018,06,24,2018,JIA Editorial Board,,,,,Adapted from Print Issue,JIA Editorial Board,,,,,,,
"Colombia, A Laboratory For History",/news/colombia-laboratory-history,YES,ARGUMENT,06232018,06,23,2018,Juan Manuel Santos,,,,,Adapted from Print Issue,Juan Manuel Santos,,,,Americas,South America,,
Hong Kong-Filipino Deadlock Over Filipino Domestic Helper Issues,/news/hong-kong-filipino-deadlock-over-filipino-domestic-helper-issues,YES,COMMENT,06222018,06,22,2018,Jason Hung,,,,,Produced for Digital,Jason Hung,,,,Asia,North Asia,South East Asia,
How Big Data is Changing Democracy,/news/how-big-data-changing-democracy,YES,ESSAY,06222018,06,22,2018,Venkat Motupalli,,,,,Adapted from Print Issue,Venkat Motupalli,,,,Global Commons,,,
Democracy in Europe is Being Reconsidered From Top To Bottom,/news/democracy-europe-being-reconsidered-top-bottom,YES,ARGUMENT,06222018,06,22,2018,Sheri Berman,,,,,Adapted from Print Issue,Sheri Berman,,,,Europe,,,
Afghanistan and the International Criminal Court: A Gender Perspective,/news/afghanistan-and-international-criminal-court-gender-perspective,YES,ARGUMENT,06202018,06,20,2018,Tiran Rahimian,,,,,Produced for Digital,Tiran Rahimian,,,,Middle East,,,
Democratic Blending: The New Model of Dictatorships in Latin America,/news/democratic-blending-new-model-dictatorships-latin-america,YES,ARGUMENT,06122018,06,12,2018,Jose Mauricio Gaona,,,,,Produced for Digital,Jose Mauricio Gaona,,,,Americas,South America,,
Kenya's Identity Crisis,/news/kenyas-identity-crisis,YES,ARGUMENT,06082018,06,08,2018,Noorulain Khawaja,,,,,Produced for Digital,Noorulain Khawaja,,,,Africa,East Africa,,
Digital Media Revolution and the Iron Fist: The Online Media Landscape in Personalist Governments,/news/digital-media-revolution-and-iron-fist-online-media-landscape-personalist-governments,YES,ARGUMENT,06072018,06,07,2018,Camille Laurente,,,,,Produced for Digital,Camille Laurente,,,,Global Commons,,,
"The Internet, Regime Breakdown, and Democratization: Lessons from Tunisia",/news/internet-regime-breakdown-and-democratization-lessons-tunisia,YES,ARGUMENT,06042018,06,04,2018,Rachel Vanderhill,,,,,Produced for Digital,Rachel Vanderhill,,,,Africa,North Africa,,
Imprisoned Kurdish Leader Could Be the Kingmaker in Turkish Elections,/news/imprisoned-kurdish-leader-could-be-kingmaker-turkish-elections,YES,ARGUMENT,05232018,05,23,2018,Huseyin Tunc,Haluk Baran Bingol,,,,Produced for Digital,Huseyin Tunc,Haluk Baran Bingol,,,Middle East,Europe,Eastern Europe,
The Art of the Deal: Speaking Trump’s language to advise him on the hamburger summit,/news/art-deal-speaking-trumps-language-advise-him-hamburger-summit,YES,ARGUMENT,05092018,05,09,2018,Katrin Katz,,,,,Produced for Digital,Katrin Katz,,,,Americas,North America,,
Reexamining the Terrorism-Poverty Nexus,/news/reexamining-terrorism-poverty-nexus,YES,ARGUMENT,04292018,04,29,2018,Marc-Olivier Cantin,,,,,Produced for Digital,Marc-Olivier Cantin,,,,Global Commons,,,
The Politics of Demography in the Israeli-Palestinian Conflict,/news/politics-demography-israeli-palestinian-conflict,YES,ARGUMENT,04272018,04,27,2018,Noorulain Khawaja,,,,,Produced for Digital,Noorulain Khawaja,,,,Middle East,,,
"In Libya, Skip National and Link Local to External",/news/libya-skip-national-and-link-local-external,YES,COMMENT,04272018,04,27,2018,Marc Dominianni,,,,,Produced for Digital,Marc Dominianni,,,,Africa,North Africa,,
A Purposive Reading of ‘Non-Penalization’ under Article 31(1) of the Refugee Convention,/news/purposive-reading-non-penalization-under-article-311-refugee-convention,YES,ARGUMENT,04192018,04,19,2018,Jenny Poon,,,,,Produced for Digital,Jenny Poon,,,,Global Commons,,,
U.S. Space Policy and Strategic Culture,/news/us-space-policy-and-strategic-culture,YES,ESSAY,04162018,04,16,2018,Nayef R. F. Al-Rodhan,,,,,Produced for Digital,Nayef R. F. Al-Rodhan,,,,Americas,North America,,
Brest-Litovsk and the Lessons Putin Should Learn,/news/brest-litovsk-and-lessons-putin-should-learn,YES,COMMENT,03292018,03,29,2018,Justin Leopold-Cohen,,,,,Produced for Digital,Justin Leopold-Cohen,,,,Europe,Eastern Europe,Asia,North Asia
Countering Iraq’s Anti-Shelter Policy in the Islamic State Era,/news/countering-iraqs-anti-shelter-policy-islamic-state-era,YES,ARGUMENT,03282018,03,28,2018,Lisa Davis,,,,,Adapted from Print Issue,Lisa Davis,,,,Middle East,,,
Empire in Denial: Undermining Afghanistan’s Statebuilding Process,/news/empire-denial-undermining-afghanistans-statebuilding-process,YES,ARGUMENT,03232018,03,23,2018,Adam Simpson,,,,,Produced for Digital,Adam Simpson,,,,Middle East,,,
Preparing for a Data-Driven Revolution in Liberia,/news/preparing-data-driven-revolution-liberia,YES,ARGUMENT,03142018,03,14,2018,Olivier Alais,Daniel Nogueira-Budny,,,,Produced for Digital,Olivier Alais,Daniel Nogueira-Budny,,,Africa,West Africa,,
The Olympic Battle for the Human Rights Narrative,/news/olympic-battle-human-rights-narrative,YES,ARGUMENT,03062018,03,06,2018,Andrew Elliott Cha,,,,,Produced for Digital,Andrew Elliott Cha,,,,Global Commons,,,
Trump and the Iran Nuclear Accord: The Legal Hurdles,/news/trump-and-iran-nuclear-accord-legal-hurdles,YES,ARGUMENT,02282018,02,28,2018,Kaveh L. Afrasiabi,,,,,Produced for Digital,Kaveh L. Afrasiabi,,,,Americas,North America,Middle East,
Turkey and the U.S. on the Brink in Syria,/news/turkey-and-us-brink-syria,YES,ARGUMENT,02272018,02,27,2018,Buddhika Jayamaha,Maj. Jahara Matisek,,,,Produced for Digital,Buddhika Jayamaha,Maj. Jahara Matisek,,,Europe,Eastern Europe,Middle East,
Romania’s Struggles: Between Democratic Training Wheels and Victimhood Citizenship,/news/romanias-struggles-between-democratic-training-wheels-and-victimhood-citizenship,YES,ARGUMENT,02142018,02,14,2018,Georgiana Constantin,,,,,Produced for Digital,Georgiana Constantin,,,,Europe,Eastern Europe,,
Afghans Look to Trump for Protection,/news/afghans-look-trump-protection,YES,COMMENT,02022018,02,02,2018,Camelia Entekhabifard,,,,,Produced for Digital,Camelia Entekhabifard,,,,Middle East,,,
Repealing the Debt Sentence for Puerto Rico,/news/repealing-debt-sentence-puerto-rico,YES,ARGUMENT,01302018,01,30,2018,Poorvi Goel,,,,,Produced for Digital,Poorvi Goel,,,,Americas,Caribbean,,
Winning the Cyber War,/news/winning-cyber-war,YES,ARGUMENT,01292018,01,29,2018,Matthew Flynn,,,,,Produced for Digital,Matthew Flynn,,,,Global Commons,Americas,North America,
The Iran Deal: The Case for Cooperation under the International System,/news/iran-deal-case-cooperation-under-international-system,YES,ARGUMENT,01232018,01,23,2018,Sina Azodi,,,,,Produced for Digital,Sina Azodi,,,,Middle East,Americas,North America,
Damming Developments on the Nile,/news/damming-developments-nile,YES,ARGUMENT,01172018,01,17,2018,Panagiotis Skiadas,,,,,Produced for Digital,Panagiotis Skiadas,,,,Africa,North Africa,,
Global Threat Convergence & the Crime-Terror Nexus,/news/global-threat-convergence-crime-terror-nexus,YES,COMMENT,12012017,12,01,2017,Justin Leopold-Cohen,,,,,Produced for Digital,Justin Leopold-Cohen,,,,Global Commons,,,
A New Deal for Japan's Foreign Workers,/news/new-deal-japans-foreign-workers,YES,ARGUMENT,11282017,11,28,2017,Dhriti Mehta,,,,,Produced for Digital,Dhriti Mehta,,,,Asia,East Asia,,
Talking China: In Conversation with Andrew Nathan,/news/talking-china-conversation-andrew-nathan,YES,ARGUMENT,11222017,11,22,2017,Philip Hsu,,,,,Produced for Digital,Philip Hsu,,,,Asia,North Asia,,
Senate Wants to Ramp up Blame on Russian Cyber Attacks,/news/senate-wants-ramp-blame-russian-cyber-attacks,YES,COMMENT,10042017,10,04,2017,Nicole Softness,,,,,Produced for Digital,Nicole Softness,,,,Americas,North America,,
Why Suu Kyi’s Title as a Nobel Laureate Should Be Revoked,/news/why-suu-kyis-title-nobel-laureate-should-be-revoked,YES,ARGUMENT,10032017,10,03,2017,Huseyin Tunc,,,,,Produced for Digital,Huseyin Tunc,,,,Asia,South East Asia,,
Understanding Radicalization Through the Lens of ‘Identity Vulnerability’,/news/understanding-radicalization-through-lens-identity-vulnerability,YES,ARGUMENT,09292017,09,29,2017,Christy Grace Provines,,,,,Produced for Digital,Christy Grace Provines,,,,Global Commons,,,
Beneficial Ownership Disclosure: The Cure for the Panama Papers Ills,/news/beneficial-ownership-disclosure-cure-panama-papers-ills,YES,ESSAY,09222017,09,22,2017,Jenik Radon,Mahima Achuthan,,,,Adapted from Print Issue,Jenik Radon,Mahima Achuthan,,,Global Commons,,,
Let’s Not Forget the Unanswered Questions about American Democracy,/news/lets-not-forget-unanswered-questions-about-american-democracy,YES,ARGUMENT,09202017,09,20,2017,Nicholas R. Smith,,,,,Produced for Digital,Nicholas R. Smith,,,,Americas,North America,,
Revisiting the Rural Energy Challenge in Developing Countries,/news/revisiting-rural-energy-challenge-developing-countries,YES,ARGUMENT,08292017,08,29,2017,Arsalan Ali Farooquee,,,,,Produced for Digital,Arsalan Ali Farooquee,,,,Global Commons,,,
Counterterrorism is Increasingly About Winning Hearts and Minds,/news/counterterrorism-increasingly-about-winning-hearts-and-minds,YES,ARGUMENT,08032017,08,03,2017,Christy Grace Provines,,,,,Produced for Digital,Christy Grace Provines,,,,Global Commons,,,
"Five Years On, Where Does Abe’s ‘Womenomics’ Stand?",/news/five-years-where-does-abes-womenomics-stand,YES,ARGUMENT,07302017,07,30,2017,Vindu Mai Chotani,,,,,Produced for Digital,Vindu Mai Chotani,,,,Asia,East Asia,,
The EU's Popularity is Challenged in its Neighborhood,/news/eus-popularity-challenged-its-neighborhood,YES,ARGUMENT,07282017,07,28,2017,Michal Boksa,,,,,Produced for Digital,Michal Boksa,,,,Europe,,,
The War on Globalization,/news/war-globalization,YES,COMMENT,07212017,07,21,2017,C. Fred Bergsten,,,,,Adapted from Print Issue,C. Fred Bergsten,,,,Global Commons,,,
Europe’s Failed Experiment in Regional Cooperation?,/news/europes-failed-experiment-regional-cooperation,YES,COMMENT,07152017,07,15,2017,Guy Verhofstadt,,,,,Adapted from Print Issue,Guy Verhofstadt,,,,Europe,,,
Artificial Intelligence is Set to Question our Identity and Privacy,/news/artificial-intelligence-set-question-our-identity-and-privacy,YES,ARGUMENT,07152017,07,15,2017,Nicole Softness,,,,,Produced for Digital,Nicole Softness,,,,Global Commons,,,
We’ve Been Here Before: The Durability of Multilateralism,/news/state-power-and-staying-power-infrastructural-mechanisms-and-authoritarian-durability,YES,ARGUMENT,07112017,07,11,2017,David Bosco,,,,,Adapted from Print Issue,David Bosco,,,,Global Commons,,,
End Times Diplomacy at the UN?,/news/end-times-diplomacy-un,YES,ESSAY,07112017,07,11,2017,Richard Gowan,,,,,Adapted from Print Issue,Richard Gowan,,,,Global Commons,,,
Natural and Quasi-Natural Experiments to Evaluate Cybersecurity Policies,/news/natural-and-quasi-natural-experiments-evaluate-cybersecurity-policies,YES,ESSAY,07042017,07,04,2017,Benjamin Dean,,,,,Adapted from Print Issue,Benjamin Dean,,,,Global Commons,,,
Honing Cyber Attribution,/news/honing-cyber-attribution,YES,ESSAY,07042017,07,04,2017,Justin Key Canfil,,,,,Adapted from Print Issue,Justin Key Canfil,,,,Global Commons,,,
Is Cyber Defense Possible?,/news/cyber-defense-possible,YES,ARGUMENT,07042017,07,04,2017,Sorin Ducaru,,,,,Adapted from Print Issue,Sorin Ducaru,,,,Global Commons,,,
The Consequences of Cyber Attacks,/news/consequences-cyber-attacks,YES,ARGUMENT,06232017,06,23,2017,Toomas Hendrik Ilves,,,,,Adapted from Print Issue,Toomas Hendrik Ilves,,,,Global Commons,,,
A Crisis of Confidentiality: A Review of 'Lords of Secrecy' by Scott Horton,/news/crisis-confidentiality-review-lords-secrecy-scott-horton,YES,BOOK REVIEW,06232017,06,23,2017,Bebe Santa-Wood,,,,,Adapted from Print Issue,Bebe Santa-Wood,,,,Americas,North America,,
The Revolution That Global Health Security Needs,/news/revolution-global-health-security-needs,YES,ARGUMENT,06042017,06,04,2017,Dr. John Meara,Brian Till,,,,Produced for Digital,Dr. John Meara,Brian Till,,,Global Commons,,,
